heure,kind,quality,ouverture,haut,bas,cloture,n_releves,volume,valeur,profondeur_5pct
2026-09-03T23,17,0,14.5,14.5,14.5,14.5,1,0,0,
2026-09-03T23,18,0,20.25,20.25,20.25,20.25,1,0,0,
2026-09-03T23,19,0,11.2,11.2,11.2,11.2,1,0,0,
2026-09-03T23,20,0,113.0,113.0,113.0,113.0,1,0,0,
2026-09-03T23,21,0,55.0,55.0,55.0,55.0,1,0,0,
2026-09-03T23,22,0,86.5,86.5,86.5,86.5,1,0,0,
2026-09-03T23,23,0,127.0,127.0,127.0,127.0,1,0,0,
2026-09-03T23,24,0,590.0,590.0,590.0,590.0,1,0,0,
2026-09-03T23,25,0,725.0,725.0,725.0,725.0,1,0,0,
2026-09-03T23,26,0,1200.0,1200.0,1200.0,1200.0,1,0,0,
2026-09-03T23,27,0,565.0,565.0,565.0,565.0,1,0,0,
2026-09-03T23,28,0,950.0,950.0,950.0,950.0,1,0,0,
2026-09-03T23,29,0,99.5,99.5,99.5,99.5,1,0,0,
2026-09-03T23,30,0,153.0,153.0,153.0,153.0,1,0,0,
2026-09-03T23,31,0,202.0,202.0,202.0,202.0,1,0,0,
2026-09-03T23,32,0,216.0,216.0,216.0,216.0,1,0,0,
2026-09-03T23,33,0,111.0,111.0,111.0,111.0,1,0,0,
2026-09-03T23,34,0,95.5,95.5,95.5,95.5,1,0,0,
2026-09-03T23,35,0,86.0,86.0,86.0,86.0,1,0,0,
2026-09-03T23,40,0,1.46,1.46,1.46,1.46,1,0,0,
2026-09-03T23,41,0,4.8,4.8,4.8,4.8,1,0,0,
2026-09-03T23,42,0,4.9,4.9,4.9,4.9,1,0,0,
2026-09-03T23,43,0,11.5,11.5,11.5,11.5,1,0,0,
2026-09-03T23,44,0,1.26,1.26,1.26,1.26,1,0,0,
2026-09-03T23,45,0,15.7,15.7,15.7,15.7,1,0,0,
2026-09-03T23,46,0,25.5,25.5,25.5,25.5,1,0,0,
2026-09-03T23,47,0,442.0,442.0,442.0,442.0,1,0,0,
2026-09-03T23,48,0,230.0,230.0,230.0,230.0,1,0,0,
2026-09-03T23,49,0,950.0,950.0,950.0,950.0,1,0,0,
2026-09-03T23,50,0,338.0,338.0,338.0,338.0,1,0,0,
2026-09-03T23,51,0,770.0,770.0,770.0,770.0,1,0,0,
2026-09-03T23,52,0,600.0,600.0,600.0,600.0,1,0,0,
2026-09-03T23,53,0,3390.0,3390.0,3390.0,3390.0,1,0,0,
2026-09-03T23,54,0,6375.0,6375.0,6375.0,6375.0,1,0,0,
2026-09-03T23,55,0,2240.0,2240.0,2240.0,2240.0,1,0,0,
2026-09-03T23,56,0,4350.0,4350.0,4350.0,4350.0,1,0,0,
2026-09-03T23,57,0,5600.0,5600.0,5600.0,5600.0,1,0,0,
2026-09-03T23,58,0,128.0,128.0,128.0,128.0,1,0,0,
2026-09-03T23,59,0,65.0,65.0,65.0,65.0,1,0,0,
2026-09-03T23,60,0,5.9,5.9,5.9,5.9,1,0,0,
2026-09-03T23,61,0,18.7,18.7,18.7,18.7,1,0,0,
